Meta Data,Time Series (5min)
"Intraday (5min) open, high, low, close prices and volume",
SPY,
2009-01-30 19:55:00,
5min,
Full size,
US/Eastern,
,"{'1. open': '63.5640', '2. high': '63.7200', '3. low': '63.4100', '4. close': '63.5550', '5. volume': '15641'}"
,"{'1. open': '63.5790', '2. high': '63.6600', '3. low': '63.4250', '4. close': '63.5100', '5. volume': '625'}"
,"{'1. open': '63.5710', '2. high': '63.6370', '3. low': '63.3870', '4. close': '63.4800', '5. volume': '950'}"
,"{'1. open': '63.6160', '2. high': '63.6830', '3. low': '63.3800', '4. close': '63.4800', '5. volume': '11211'}"
,"{'1. open': '63.6620', '2. high': '63.7350', '3. low': '63.4700', '4. close': '63.5400', '5. volume': '12661'}"
,"{'1. open': '63.6770', '2. high': '63.7500', '3. low': '63.4850', '4. close': '63.5780', '5. volume': '15030'}"
,"{'1. open': '63.7140', '2. high': '63.7800', '3. low': '63.5150', '4. close': '63.5930', '5. volume': '41900'}"
,"{'1. open': '63.8500', '2. high': '63.9160', '3. low': '63.5600', '4. close': '63.6300', '5. volume': '8356'}"
,"{'1. open': '63.8270', '2. high': '63.9160', '3. low': '63.6720', '4. close': '63.7650', '5. volume': '9500'}"
,"{'1. open': '63.8040', '2. high': '63.8930', '3. low': '63.6500', '4. close': '63.7430', '5. volume': '2100'}"
,"{'1. open': '63.8120', '2. high': '63.8780', '3. low': '63.6570', '4. close': '63.7280', '5. volume': '150'}"
,"{'1. open': '63.8040', '2. high': '63.8710', '3. low': '63.6500', '4. close': '63.7200', '5. volume': '100'}"
,"{'1. open': '63.8040', '2. high': '63.9080', '3. low': '63.6500', '4. close': '63.7580', '5. volume': '5800'}"
,"{'1. open': '63.7820', '2. high': '63.9230', '3. low': '63.6270', '4. close': '63.7200', '5. volume': '7890'}"
,"{'1. open': '63.7740', '2. high': '63.8860', '3. low': '63.6200', '4. close': '63.7130', '5. volume': '1920'}"
,"{'1. open': '63.7890', '2. high': '63.8860', '3. low': '63.6350', '4. close': '63.7050', '5. volume': '8425'}"
,"{'1. open': '63.7520', '2. high': '63.8560', '3. low': '63.5970', '4. close': '63.7050', '5. volume': '1900'}"
,"{'1. open': '63.7890', '2. high': '63.8560', '3. low': '63.6270', '4. close': '63.7050', '5. volume': '3197'}"
,"{'1. open': '63.7740', '2. high': '63.8780', '3. low': '63.6200', '4. close': '63.7050', '5. volume': '23995'}"
,"{'1. open': '63.6470', '2. high': '63.8560', '3. low': '63.4770', '4. close': '63.7050', '5. volume': '26395'}"
,"{'1. open': '63.6320', '2. high': '63.6980', '3. low': '63.4770', '4. close': '63.5480', '5. volume': '4400'}"
,"{'1. open': '63.6090', '2. high': '63.6750', '3. low': '63.4550', '4. close': '63.5250', '5. volume': '1265'}"
,"{'1. open': '63.6390', '2. high': '63.7050', '3. low': '63.4020', '4. close': '63.4730', '5. volume': '30400'}"
,"{'1. open': '63.6390', '2. high': '63.7350', '3. low': '63.4850', '4. close': '63.5850', '5. volume': '300'}"
,"{'1. open': '63.6390', '2. high': '63.7350', '3. low': '63.4850', '4. close': '63.5850', '5. volume': '17400'}"
,"{'1. open': '63.6470', '2. high': '63.7350', '3. low': '63.4770', '4. close': '63.5550', '5. volume': '40400'}"
,"{'1. open': '63.7070', '2. high': '63.7730', '3. low': '63.4920', '4. close': '63.5700', '5. volume': '12762'}"
,"{'1. open': '63.7070', '2. high': '63.7880', '3. low': '63.5520', '4. close': '63.6230', '5. volume': '9300'}"
